x [nm]	y [nm]
0.00	0.00
1.70	2.85
2.17	-3.98
-4.13	-1.44
5.10	2.70
6.23	-3.69
5.80	4.81
4.93	-2.65
5.33	1.38
5.04	-1.60
0.97	-2.33
6.73	1.73
-2.63	-2.62
7.47	8.37
2.07	-7.86
4.20	-1.80
6.14	2.22
5.04	-5.69
0.50	1.77
1.30	-7.72
5.60	1.56
2.93	-8.88
8.77	-1.86
-6.77	3.18
4.80	-1.86
1.70	-1.98
5.10	-0.97
-3.23	2.48
-2.87	-4.49
1.10	-3.09
3.80	3.15
0.10	1.84
0.00	-4.50
3.97	2.34
-1.33	-1.75
0.43	1.28
0.90	2.85
5.97	-4.92
1.73	1.41
1.33	-4.69
9.53	-3.22
6.07	2.57
2.20	-5.04
4.90	-11.58
1.43	-2.95
2.37	6.58
-3.83	2.50
0.90	9.16
2.57	-0.78
-1.50	3.82
3.10	-1.69
1.03	-2.79
1.87	4.28
-2.57	6.12
5.60	6.02
0.73	4.75
5.80	4.20
6.10	9.57
5.63	-3.16
-4.33	6.84
-1.30	10.69
9.93	-2.44
0.10	-2.31
0.57	5.78
-0.63	-3.08
-2.43	3.18
-6.17	6.19
-2.30	4.24
-4.37	0.11
9.13	-0.26
-6.37	-3.23
-6.33	9.24
-1.90	-1.31
2.77	9.64
1.97	-8.11
2.83	-0.95
-2.53	-1.41
0.60	-3.02
-2.07	6.47
-0.70	2.31
0.70	4.65
4.67	6.48
-3.67	4.88
8.70	1.84
-8.00	3.59
2.67	-2.89
-0.20	11.87
0.73	1.18
-2.40	2.53
1.30	9.30
0.13	2.15
-1.70	0.45
-2.73	1.92
0.73	4.23
-6.37	1.55
-7.83	8.87
-5.40	9.57
4.23	-8.71
-0.20	3.11
2.70	7.61
-3.86	1.73
1.37	8.13
1.17	1.10
-7.23	4.53
-2.63	-1.04
-0.50	-0.67
4.13	6.92
-1.47	4.02
2.90	5.70
-5.36	1.72
-0.47	8.09
-9.96	2.91
-2.27	2.91
1.37	6.07
-0.13	1.14
0.43	2.58
1.03	2.75
1.63	8.05
-0.90	-3.78
-0.57	-4.69
5.50	11.45
0.40	2.99
4.67	0.07
-3.36	-0.74
-1.53	5.62
-5.43	1.93
-4.53	1.40
-0.77	6.03
-5.47	-4.36
-3.97	3.34
-3.26	7.61
1.60	6.98
-4.53	-1.63
-2.00	10.86
-2.57	3.01
0.33	15.63
-1.36	11.19
-1.07	6.34
-2.96	1.27
3.80	5.86
-2.80	10.94
-0.80	3.63
-5.63	11.48
-7.33	6.32
-1.47	6.55
-5.53	3.21
-8.53	5.54
-6.70	5.65
-7.57	2.29
-11.47	7.60
-9.40	3.37
-13.33	7.17
3.37	0.95
-8.77	4.10
-7.20	-1.28
-6.90	6.20
-4.10	5.76
-7.13	-0.27
-13.73	1.86
-9.73	1.44
-7.77	-1.13
-10.80	0.20
-15.67	2.37
-4.70	-3.16
-12.03	2.59
-11.20	-3.03
-11.10	4.37
-12.50	-0.42
-13.80	1.51
-9.30	4.91
-17.93	1.76
-14.40	-0.49
-10.00	0.22
-14.60	-1.23
-17.36	-6.15
-13.40	0.02
-10.50	-13.74
-7.27	3.80
-7.57	-8.51
-20.10	3.53
-15.13	-1.32
-10.63	2.17
-15.37	-1.41
-13.80	5.22
-10.93	-7.91
-15.07	1.24
-14.37	-8.02
-8.03	-10.03
-10.93	-3.84
-12.03	-6.63
-15.30	-5.74
-12.97	-7.95
-10.50	-1.70
-11.33	0.53
-9.10	-0.76
-18.90	-4.37
-12.33	-11.60
-8.17	6.06
-12.67	-4.38
-3.33	0.93
-4.80	1.21
-9.07	-4.74
-12.93	8.42
-9.86	-8.75
-11.83	1.71
-6.96	0.21
-3.90	-3.27
-11.30	-4.33
-10.87	4.06
-7.96	-9.36
-11.17	-2.81
-7.00	-6.30
-11.33	-6.13
-4.07	-5.53
-4.57	-0.76
-16.00	-2.13
-1.80	-7.18
-8.26	-2.31
-7.60	-0.03
-13.00	-4.36
-14.80	-2.29
-14.17	0.79
-7.30	0.49
-11.77	-6.18
-10.07	-5.83
-9.93	3.19
-16.77	0.40
-8.97	-7.52
-12.63	-5.28
-10.76	2.91
-14.80	-5.63
-4.03	-2.59
-14.57	1.10
-13.63	-7.47
-18.30	2.92
-13.07	2.25
-16.70	4.80
-12.90	-3.96
-12.16	-6.42
-15.90	0.81
-10.87	-12.91
-6.73	-4.78
-7.73	3.24
-14.80	-6.66
-16.17	2.06
-6.27	-5.89
-11.50	-2.44
-15.90	2.01
-9.00	-4.46
-14.17	-5.64
-10.53	-7.53
-11.23	-1.27
-15.07	-9.09
-1.90	-12.85
-12.10	-10.26
-8.00	0.78
-11.00	1.47
-17.43	0.82
-18.37	1.01
-6.67	-8.19
-15.03	-1.57
-16.40	1.60
-13.20	-5.40
-14.23	-7.42
-16.53	-0.42
-18.87	-1.88
-10.03	0.63
-12.97	-2.76
-14.70	1.73
-8.90	2.90
-6.73	-5.29
-8.90	-5.18
-8.83	-2.40
-15.17	-9.28
-19.40	-1.82
-10.43	2.56
-14.60	-0.68
-11.03	-4.90
-2.60	-6.12
-10.80	-1.85
-8.77	-4.05
-11.20	-6.46
-15.27	10.16
-18.07	3.62
-13.17	-7.37
-16.03	2.91
-10.80	-5.96
-6.13	-8.48
-14.60	-4.05
-13.16	-9.99
-13.27	-1.30
-11.27	-5.05
-13.70	-3.70
-14.03	-3.28
-16.53	-9.60
-16.53	-3.56
-14.10	-9.67
-12.53	-0.44
-17.67	-4.14
-12.97	-10.08
-14.10	-16.78
-16.43	-5.03
-18.50	-6.63
-11.70	-11.53
-20.53	-8.45
-8.57	-14.58
-14.53	-5.47
-18.03	-15.16
-17.67	-7.34
-20.03	-9.12
-17.10	-5.94
-19.73	-10.19
-18.77	-10.62
-14.03	-10.91
-19.97	-12.16
-19.37	-2.51
-21.60	-13.41
-19.67	-14.17
-18.90	-17.65
-24.80	-10.29
-21.30	-13.83
-22.53	-9.38
-27.96	-2.66
-25.77	1.62
-22.10	-3.46
-27.50	-14.62
-21.00	-17.36
-31.07	-7.28
-17.63	-16.64
-22.17	-13.29
-22.90	-4.69
-20.46	-10.79
-23.93	-6.83
-28.33	-10.75
-23.93	-14.96
-23.40	-5.76
-27.17	-14.75
-27.37	-8.48
-30.93	-10.79
-21.67	-9.38
-23.70	-10.52
-17.63	-12.43
-26.40	-10.16
-21.50	-5.45
-25.60	-14.05
-20.23	-3.22
-30.27	-12.99
-27.30	-8.83
-28.90	-4.53
-17.60	-9.61
-17.57	-8.16
-27.96	-15.58
-23.20	-3.45
-21.77	-11.40
-26.93	-9.17
-19.27	-7.90
-21.03	-5.61
-24.70	-7.78
-23.67	-13.64
-31.10	-10.15
-25.57	-15.37
-18.63	-9.99
-24.86	-9.19
-25.33	-11.31
-27.93	-11.53
-23.67	-12.67
-27.37	-7.41
-20.13	-5.51
-27.47	-10.30
-28.67	-10.98
-23.17	-8.91
-24.23	-10.48
-24.07	-9.00
-31.60	-2.77
-20.76	-5.81
-27.03	-1.66
-25.53	-9.01
-28.80	-12.32
-27.57	-12.35
-25.60	-12.11
-30.23	-6.78
-23.70	-1.21
-28.17	-8.67
-25.27	-4.01
-25.13	-5.48
-24.10	-3.31
-30.90	-6.98
-28.10	-5.50
-24.60	-6.67
-32.43	-7.99
-15.07	-12.88
-24.80	-7.73
-26.93	-1.38
-21.40	-8.77
-24.00	-3.96
-26.57	-2.22
-24.07	-6.61
-18.36	-8.31
-30.33	-8.71
-25.43	-6.34
-21.50	-9.72
-19.70	-8.96
-22.46	-13.48
-26.03	-13.77
-18.53	-1.95
-27.17	-5.44
-29.00	-10.77
-23.53	-9.63
-19.20	-12.28
-26.67	-10.18
-24.27	-9.66
-21.93	-3.75
-18.70	-5.84
-24.10	-4.34
-24.17	-3.69
-24.67	-1.64
-18.80	-7.86
-23.70	-8.08
-26.53	-4.97
-18.30	-4.60
-21.47	-8.72
-22.46	-2.01
-22.40	-2.41
-18.53	-4.86
-20.17	-1.88
-18.63	-8.98
-27.10	-10.27
-21.23	-4.13
-24.57	-3.60
-20.13	-5.25
-20.03	-0.28
-23.20	-7.12
-20.93	-3.94
-25.80	-8.92
-29.67	-5.03
-19.93	2.01
-23.80	-5.19
-19.23	-6.41
-29.53	-11.82
-20.93	-6.04
-20.13	-0.53
-26.83	-1.31
-22.33	-3.94
-23.87	3.35
-23.20	6.93
-25.10	-2.86
-24.70	-4.00
-26.07	-5.79
-26.33	-10.26
-21.10	-4.15
-24.77	-2.32
-25.77	1.39
-26.30	-14.10
-22.63	-8.00
-23.20	-13.17
-25.43	-8.93
-23.77	-2.20
-30.47	3.73
-24.40	-10.72
-19.43	-11.18
-30.50	1.08
-24.00	-0.04
-23.10	-8.49
-23.83	-0.34
-21.40	3.83
-24.23	8.09
-30.33	0.38
-18.46	-0.37
-19.97	-3.32
-24.13	-10.58
-28.73	-7.43
-20.43	-8.39
-24.13	1.95
-25.70	0.38
-27.33	-5.74
-28.50	-3.65
-30.93	-3.28
-30.36	1.43
-30.40	3.26
-31.40	-6.44
-34.10	-5.40
-27.87	-5.60
-20.86	-3.86
-29.03	-10.19
-31.46	-7.64
-30.07	2.61
-34.07	-1.99
-27.43	-1.27
-26.33	-6.84
-25.73	-3.75
-32.63	-3.04
-28.23	-5.97
-29.93	-1.63
-31.20	-1.55
-26.97	-6.07
-25.93	-1.08
-24.57	-2.96
-18.83	-1.15
-30.96	4.10
-26.37	-2.84
-19.33	-3.20
-32.60	-0.44
-27.90	-1.99
-34.50	1.51
-23.50	0.35
-23.80	-0.68
-28.33	1.35
-34.60	-1.92
-23.96	4.92
-25.83	-0.43
-22.50	0.44
-24.53	-4.37
-30.07	0.45
-23.93	-0.63
-27.10	-0.07
-27.83	-5.27
-27.00	-6.74
-30.53	-2.29
-26.37	-2.90
-28.73	-3.47
-32.20	-7.69
-34.17	-1.87
-34.17	-1.34
-29.07	-3.93
-33.00	0.80
-34.90	-6.55
-28.77	-2.01
-36.13	2.04
-39.20	-7.55
-32.93	-1.16
-35.73	2.60
-37.90	-1.81
-29.33	-5.23
-33.17	4.12
-34.90	5.09
-28.37	-0.65
-32.93	2.23
-30.57	-0.48
-32.17	-0.07
-39.07	-2.55
-32.83	-6.83
-35.80	-0.45
-38.03	-3.53
-32.60	-0.37
-36.07	-2.65
-29.80	0.55
-34.16	-8.24
-34.30	-1.41
-30.30	1.42
-31.43	-3.09
-34.43	-5.60
-33.33	-0.17
-34.87	0.69
-31.97	2.76
-35.33	-0.46
-39.00	0.80
-33.67	2.83
-31.86	3.01
-32.67	6.42
-40.36	0.04
-36.17	-0.48
-34.47	0.74
-41.10	-4.11
-34.67	-4.04
-40.90	6.06
-36.20	0.66
-38.27	-0.17
-33.47	1.59
-32.67	-3.56
-36.67	5.46
-36.23	-6.37
-41.17	-0.49
-39.77	5.84
-39.00	7.11
-39.47	-3.03
-30.83	-2.95
-27.90	-2.21
-41.43	5.81
-44.57	8.34
-30.27	2.85
-38.27	6.54
-28.47	3.65
-30.70	3.98
-30.73	3.26
-29.63	3.65
-33.70	11.56
-39.80	5.88
-35.00	7.39
-33.73	10.73
-33.70	4.85
-33.33	7.71
-37.07	-0.47
-41.43	3.29
-42.07	8.32
-38.83	13.39
-46.20	1.41
-43.87	-0.65
-34.43	6.27
-39.37	7.25
-42.07	1.61
-38.60	2.26
-45.93	8.61
-34.17	-0.13
-35.37	-3.12
-36.37	-2.89
-34.57	-1.01
-39.90	8.30
-39.96	5.48
-41.87	9.84
-36.27	2.23
-39.87	4.55
-34.67	-0.80
-39.13	0.33
-43.03	6.77
-34.30	6.91
-36.47	7.40
-40.90	5.32
-34.80	-3.00
-34.96	7.07
-37.90	8.90
-29.77	4.27
-26.80	13.63
-33.73	13.03
-31.40	1.51
-40.63	8.77
-35.00	4.57
-32.07	0.64
-39.00	0.50
-37.50	7.64
-33.10	7.32
-40.43	5.23
-40.16	-1.34
-39.77	9.78
-36.00	2.04
-36.83	0.85
-34.90	7.28
-38.63	8.64
-35.47	1.85
-44.00	7.60
-33.63	1.22
-42.10	-1.51
-40.86	4.92
-37.46	0.38
-35.87	-6.00
-35.36	-2.09
-44.47	9.93
-36.63	-3.66
-37.50	-0.94
-35.60	3.48
-33.67	2.60
-35.10	-7.58
-44.80	1.59
-40.07	-4.98
-41.37	3.20
-34.83	-7.27
-41.57	7.62
-43.10	0.80
-36.87	-0.98
-39.17	-2.86
-37.87	-6.04
-35.50	-10.03
-39.36	5.28
-43.90	-4.38
-34.70	-1.49
-47.17	2.34
-37.07	3.71
-37.03	0.27
-40.80	1.51
-44.96	5.62
-45.27	-1.44
-43.63	0.03
-37.43	0.07
-44.80	1.98
-43.43	-8.75
-39.00	-3.68
-46.30	-3.66
-43.73	-4.64
-37.80	-0.17
-40.17	1.11
-49.03	5.34
-48.70	-0.92
-44.47	-0.33
-39.83	-5.17
-49.73	-4.46
-43.90	-0.47
-56.00	3.28
-44.67	0.90
-45.80	-3.08
-43.40	-2.22
-45.47	1.26
-38.07	-5.42
-38.46	-3.42
-45.53	-5.97
-35.83	-6.89
-46.43	-0.21
-51.13	-1.85
-47.30	-1.06
-46.66	-7.31
-42.10	-3.11
-38.70	-2.18
-50.03	-13.17
-49.63	-9.94
-44.96	-7.76
-41.60	-5.96
-43.73	-7.39
-42.03	-6.85
-51.50	-6.27
-43.53	-3.78
-45.90	5.92
-48.23	5.24
-48.10	4.37
-35.23	7.26
-47.03	1.78
-43.30	-4.77
-37.30	2.69
-49.23	-4.20
-52.73	2.07
-37.57	-0.15
-43.96	4.53
-42.07	2.31
-41.37	8.68
-44.87	4.88
-48.00	-0.23
-44.87	5.27
-39.43	6.22
-36.50	14.03
-42.60	8.40
-42.33	3.73
-41.93	5.13
-42.13	3.18
-46.00	12.47
-41.20	8.45
-38.30	5.85
-44.77	11.96
-38.83	1.51
-43.07	3.36
-37.57	0.71
-44.37	7.53
-34.20	4.40
-42.53	6.15
-39.23	10.54
-42.97	3.53
-43.47	8.56
-48.03	-0.14
-42.83	12.03
-40.90	8.39
-45.36	13.50
-44.93	7.72
-43.53	3.67
-43.83	1.10
-49.70	3.63
-45.86	0.20
-53.13	8.98
-47.33	1.71
-44.37	4.09
-48.90	1.77
-39.17	1.98
-43.70	5.60
-41.63	0.99
-49.70	5.94
-43.73	8.88
-45.63	6.53
-45.70	10.05
-45.00	2.98
-43.47	7.85
-53.27	6.71
-52.03	9.43
-49.53	0.36
-51.70	9.50
-54.57	10.56
-51.20	-0.35
-47.63	-2.63
-52.63	0.02
-56.33	5.65
-42.13	2.48
-45.30	4.87
-51.27	2.85
-50.37	-1.96
-56.96	-3.47
-54.90	-2.14
-50.00	3.47
-54.63	-0.15
-48.77	3.49
-52.53	3.56
-47.67	2.16
-57.23	4.24
-57.53	2.91
-49.23	1.43
-56.90	3.33
-52.03	2.04
-50.33	3.44
-52.23	6.99
-44.57	-2.28
-48.33	8.18
-54.03	0.84
-54.47	4.13
-45.43	2.30
-56.23	6.12
-56.73	-4.89
-51.33	-7.33
-51.67	-5.67
-54.00	-2.63
-54.67	1.61
-56.30	0.23
-48.50	1.17
-51.50	1.12
-52.40	-6.14
-62.96	-0.46
-58.23	-10.12
-52.00	-4.14
-53.50	-0.66
-57.70	1.50
-56.26	-7.94
-53.60	-4.77
-49.20	-4.08
-54.76	5.03
-56.30	0.92
-48.46	-10.14
-54.33	2.82
-53.30	-4.59
-54.70	-8.76
-53.00	-8.31
-54.86	1.82
-57.13	0.05
-48.50	-10.38
-52.30	-1.46
-50.43	-7.03
-53.93	1.64
-53.03	6.75
-54.20	-9.66
-56.77	-3.41
-50.03	-4.48
-45.50	-12.22
-49.90	3.75
-51.03	3.02
-49.43	-0.47
-60.93	-5.23
-52.10	-2.79
-54.27	-5.93
